folder,before,moved_in,moved_out,after
(root),13,0,0,13
sw_2da,747,0,0,747
sw_ability,12261,0,11,12250
sw_ability_source,9,0,0,9
sw_cr_creature,3364,21,2,3383
sw_cr_vehicle,529,47,0,576
sw_door,1922,0,0,1922
sw_item,7525,1,0,7526
sw_load,40,0,0,40
sw_music,319,0,0,319
sw_palette,5,0,0,5
sw_plc,7924,393,1262,7055
sw_plc_cep,6071,510,571,6010
sw_plc_mdrn,3304,854,12,4146
sw_plc_swtor,3311,2,0,3313
sw_portrait,9136,0,0,9136
sw_pt_belt,948,0,0,948
sw_pt_chest,3810,0,0,3810
sw_pt_cloak,183,0,0,183
sw_pt_head,2764,8,0,2772
sw_pt_helm,724,0,0,724
sw_pt_lbicep,1890,0,0,1890
sw_pt_lfoot,1232,0,0,1232
sw_pt_lfore,1918,0,0,1918
sw_pt_lhand,943,0,0,943
sw_pt_lshin,2096,0,0,2096
sw_pt_lshoul,706,0,0,706
sw_pt_lthigh,1877,0,0,1877
sw_pt_neck,1745,0,0,1745
sw_pt_pelvis,1565,0,0,1565
sw_pt_rbicep,1881,0,0,1881
sw_pt_rfoot,1218,0,0,1218
sw_pt_rfore,1922,0,0,1922
sw_pt_rhand,938,0,0,938
sw_pt_robe,4221,0,0,4221
sw_pt_root,866,0,0,866
sw_pt_rshin,2093,0,0,2093
sw_pt_rshoul,716,0,0,716
sw_pt_rthigh,1877,0,0,1877
sw_shader,11,0,0,11
sw_skybox,391,1,0,392
sw_sound,1159,0,0,1159
sw_t_alienruin,610,0,0,610
sw_t_barrow,1,0,0,1
sw_t_beholder,755,0,0,755
sw_t_bunker,128,0,0,128
sw_t_castle1,607,0,0,607
sw_t_castleex,52,0,0,52
sw_t_cepbehold,67,0,0,67
sw_t_cepcastle,34,0,0,34
sw_t_cepcityex,2321,0,0,2321
sw_t_cepcityin,1117,0,0,1117
sw_t_cepcrypt,997,0,0,997
sw_t_cepdesert,1636,0,0,1636
sw_t_cepdrow,15,0,0,15
sw_t_cepdungeon,1901,0,0,1901
sw_t_cepforest,2153,7,0,2160
sw_t_cepfrozen,33,0,0,33
sw_t_cepmine,4377,0,0,4377
sw_t_ceprural,731,0,0,731
sw_t_cepswamp,752,0,0,752
sw_t_cepunder,181,0,0,181
sw_t_cepwinter,614,0,0,614
sw_t_cityext,3,0,0,3
sw_t_cityint1,13,0,0,13
sw_t_cityint2,15,0,0,15
sw_t_coastal,3,0,0,3
sw_t_crypt,28,0,0,28
sw_t_drowint,2,0,0,2
sw_t_duct,60,0,0,60
sw_t_dungeon,43,0,0,43
sw_t_elvencity,926,0,0,926
sw_t_facility,283,0,0,283
sw_t_forest,4,0,0,4
sw_t_fortint,3,0,0,3
sw_t_frozen,3,0,0,3
sw_t_futcity,759,0,0,759
sw_t_garage,110,0,0,110
sw_t_illithid,1,0,0,1
sw_t_jungle,1094,0,0,1094
sw_t_labstore,1084,0,0,1084
sw_t_metalint,467,0,0,467
sw_t_mine,29,0,7,22
sw_t_minecave,1,0,0,1
sw_t_modernex,1435,4,0,1439
sw_t_modint,1188,0,0,1188
sw_t_modint2,326,0,0,326
sw_t_office,762,0,0,762
sw_t_planet,1249,0,0,1249
sw_t_ravforest,91,0,0,91
sw_t_ruin,1,0,0,1
sw_t_rural,2,0,0,2
sw_t_scifibase,259,0,0,259
sw_t_season,9071,0,0,9071
sw_t_secbase,528,0,0,528
sw_t_secretbs,524,0,0,524
sw_t_sewer,2,0,0,2
sw_t_shadowrun,75,0,0,75
sw_t_space,71,0,0,71
sw_t_starship,1858,0,0,1858
sw_t_steamwork,1,0,0,1
sw_t_suburb,2123,0,0,2123
sw_t_swprefab,90,0,0,90
sw_t_tatooine,747,0,0,747
sw_t_template,1,0,0,1
sw_t_tnocastle,1,0,0,1
sw_t_treetop,1341,0,0,1341
sw_t_underdark,2,0,0,2
sw_t_virtunet,100,0,0,100
sw_t_wildland,678,0,0,678
sw_t_wildwood,640,0,0,640
sw_t_winter,20,0,0,20
sw_tlk,2,0,0,2
sw_ui,496,11,0,507
sw_vfx,1862,0,10,1852
sw_weapon,14430,16,0,14446
