path,disposition,note
sw_cr_creature/ad_btllady.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/ad_displacer.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/ad_stonegiant.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c05_01.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_a_goatie.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_abishaib.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_abishaibl.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_abishaig.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_abishair.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_abishaiw.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_albatross.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_animtome.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_annis.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_arcbugba.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_arcbugchi.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_arcbugwiz.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_armadillo.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_armorv.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_armorv.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_atlantisgolem.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_bacar.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_baeldemon.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_balrog.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_barnowl.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_blackbird.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_blackowl.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_blkantelope.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_blkcockatoo.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_blknwhthsecat.dds,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_bluemacaw.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_cardinal.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_carnape.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
sw_cr_creature/c_cat_jag.tga,retained,"No explicit model/material dependency found; engine conventions, dynamic references, or orphaned content may explain usage."
