file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_40k_m01_l.tga,a2e687f3a778207c1dfee71e9a4fa8535f83120952a36870824b1ec4e848e2d9,po_40k_m01_l.dds,3e531795d51c8290433a01e61e0a316cc8cf71f419285a2d99a779e3c213b59f,128,256,DXT1,98322,16512
po_40k_m01_m.tga,a39818977cfda0fd0fdef91b28bbcdd3acbc1f6c0ca79e40c1afc753728bff1e,po_40k_m01_m.dds,9700328585bb528aabea5674fbf1608307ba755a9005147743b02ff32c73d033,64,128,DXT1,24620,4224
po_40k_m01_s.tga,3f00cbab7ad1b5aa7d565e296df0dcb0a6a6dc105f3f9ef9bc105b81635c1f1e,po_40k_m01_s.dds,2f2246295b5c027b518104f3fc3067b93ee5b579e4dbbbe6a59a447c84bcb9f2,32,64,DXT1,6162,1152
po_40k_m01_t.tga,2b39cf8e489cb591085b68f7fcf06bfb45863798b14465c4964232fb92dd154b,po_40k_m01_t.dds,8af6f2f93e7de68317fb3796dc32dd6d6161ba36b36c1d937380b39ffad0f69e,16,32,DXT1,1554,384
po_40k_m02_l.tga,0f54e9c0e0b366d3a2fd9d76cae84639273e3aeb6986a1aa543572026cf33bcd,po_40k_m02_l.dds,89a30eb34411d2545ae6e0a0934ea9a9108249d15dd14436e5fc49497a3d2050,128,256,DXT1,98322,16512
po_40k_m02_m.tga,da62257f39104a8b05603c89293300894e73ac319aca8a16f958af210a761b71,po_40k_m02_m.dds,86269027eec6434f40f62dd1a622515d6b4e606fa03f3f0bf25ba3b0fd5845ff,64,128,DXT1,24620,4224
po_40k_m02_s.tga,96bc04b63129ebff32ec6615d94c7e51f1d502312c76c959d0ce5267923074e7,po_40k_m02_s.dds,f02d7969344823bbe01a0208cddc20ded32711e43284144575165df49b859aec,32,64,DXT1,6162,1152
po_40k_m02_t.tga,f2dc84eaed96bbc81da3d7d2e9bcb261b8e470cfa474369c67c8ac8ed1c1e16a,po_40k_m02_t.dds,0f1350ef5d00b6da6e701380cedf84fc736635661840cba919b148e0d772fdc1,16,32,DXT1,1554,384
po_40k_m03_l.tga,c829d622d78b88628b01ff148f5cd26e3738e618fa2fa7b7f9a2ba8bd1d83c0b,po_40k_m03_l.dds,82e68070ac20bdd8c40608b071bce1ef4fac6b7b191eff2d79b17d9328968c26,128,256,DXT1,98322,16512
po_40k_m03_m.tga,bd26d686dcd6c24e15a4db78cd25238cbed0f2ae4eacc0780641b741030ddbf5,po_40k_m03_m.dds,dc0196323a0c62b80411eb355c0ac08dfdb19a6873213f147e2e50282e56c298,64,128,DXT1,24620,4224
po_40k_m03_s.tga,ddc6fd383bf7a7ed6f731f39fee6f0599aa871d17559dcc874451232c9f61d39,po_40k_m03_s.dds,be6a2462605da7c38b87fd3eea5911b7f24179731729456cf62904c2d74dd8d6,32,64,DXT1,6162,1152
po_40k_m03_t.tga,8080870b3a5736fbfcdebb0ed4d4428b8319937e114089569b75aa0af2e71e92,po_40k_m03_t.dds,a760a0bfe07fa4ee14d4187831c01bf42f073df636ebd0fc72409c41cdee368a,16,32,DXT1,1554,384
po_40k_m04_l.tga,7b4f907c414777c99e5c750c34e691f7e46c3fffcc80b17a18e91c84c9b58e68,po_40k_m04_l.dds,f4cdf28e19c3beb59e75076efb7f9607521298379daca503832c6d950e27673c,128,256,DXT1,98322,16512
po_40k_m04_m.tga,fc3f7dadce6914e5072fb2558cf93a2f70aa63b1b40dd8f6fcceaf3611fa7758,po_40k_m04_m.dds,5221c78cdd117a9e890c7dfbcc29c784fb0c69247b3b9e23da35f4f31b30a167,64,128,DXT1,24620,4224
po_40k_m04_s.tga,2d8373031a913e997dd099726eb3405958a0a2c8269fa711ef39fe8f830cb414,po_40k_m04_s.dds,3fef41ea305ee356b3bc3fa1e254fc838764e977cab22f927e2e5fb41a607ae6,32,64,DXT1,6162,1152
po_40k_m04_t.tga,ebc9471247c15e3111591a2b1c1a03f4795df554ecd30e21ce243220e60ad3a9,po_40k_m04_t.dds,78998ac17019d8baef7c22cbafd5bb36dc1e22171613e3af131090c99c7b5926,16,32,DXT1,1554,384
po_40k_m05_l.tga,14db17b68acfdf4d45e83ba972562e5336981c027d0076f7809ead2faf43990f,po_40k_m05_l.dds,371950c8790b6dee737446edc50ccd1210e6b13bd68835e6f0d06e0a5b94414d,128,256,DXT1,98322,16512
