file,canonical,reason,original_sha256,corrected_sha256,canonical_sha256
po_40k_m17_m.tga,po_40k_m17_l.tga,image comparison and visual review,66f0427a3d361c190ff9b3c242fcfe8308e6d111077bb6db3e519c157d61f654,3abe6f121cc95956a8c08784a604235eedc5fbb36bb5186b8f2961917edb384d,6b202f4b5b82575da76c2181a88a7a574d3e228d5543715823e0680cf495ff34
po_aberr502_m.tga,po_aberr502_l.tga,image comparison and visual review,3cb9baa0ff1f54f89d287c8acbd5e8d4b674563fc748063ab04fc5d41eb57b50,205a9ed2b4ef65f080cb1a12500897b101259557314b03697180623416ef26b3,2211e13833244ad05de1a1ac69bac7307cc16add497427b7718837606ea08879
po_aberr503_m.tga,po_aberr503_l.tga,image comparison and visual review,15daaa1e959facbed34fc0c7439f2b80acf70cfb09ab956cd0a45ba38cb7a689,a3a149dcf1e8438fa602766dcb5fa6ee2bf6bbf27590903e4746840e1ecb615b,a290ff58867d3b7b701b7f8c9ccc00c07d8c90e0be382940fb8df6ba8610bcf0
po_bisonant_s.tga,po_bisonant_l.tga,different artwork; match canonical facing,60075371d9e6050dd8c59ef4d6c31b3a4c198a0e648ed25b74594048325f9588,9c502eaa15c6de34bd42e893e59a1eb7eee806b2c50d0147d667f883df450e8c,d8e106d00b8290d3ac2bd4283d1b5c0469322e1f867f2d9ab042ce64fb765a79
po_bisonant_t.tga,po_bisonant_l.tga,different artwork; match canonical facing,6215f062dfa470fbf13d53c773610ba6ad4f4db4b1184e31702c4d33c80c319e,065160793c1cffc33da06c59efe83b1220727cfe84832853d8ad665dbe2312f0,d8e106d00b8290d3ac2bd4283d1b5c0469322e1f867f2d9ab042ce64fb765a79
po_bladeling_m.tga,po_bladeling_l.tga,image comparison and visual review,dbfec379ebebe649148552dbfa8a47391e5ffc900e75118d76cd43425c598d94,bff743fd7cd4a6365cb00a42edb4f8030a9347d76e8e7a3445c715db61227e81,cdce0687b7109d0a6790f5ad797373234f1a9fd9d5bbdd07f172f4eecb5847c1
po_bladeling_s.tga,po_bladeling_l.tga,image comparison and visual review,adee82494bc8f3e3a7525e7d5de4ddcb6595eb22996f04137a495830d5f37fdc,d9b4f918ae6c45c63513dd89e323644b0bd7b5219be5e4ef403c053c00643dfc,cdce0687b7109d0a6790f5ad797373234f1a9fd9d5bbdd07f172f4eecb5847c1
po_cavegobsh_m.tga,po_cavegobsh_l.tga,image comparison and visual review,de5fabd00605954a7101d19703685884beae6e1041621d22a0f7b2391eeeeaac,5a92095417ca86ec3db0d304974274604898d8797c6701359b4a4fc87cd978a7,3c97e4f12e0016d9b76ca26d3367991accf417549ecd8a5fa11a99c0696dd671
po_cornugonb_m.tga,po_cornugonb_l.tga,image comparison and visual review,f715bff84a63ad03e160eb7ccd6c7a61a7ae3e1d96a360d449456d0b4752e5dd,0b433b241ffeaa81cce1c9d6f7643489796c53e8ecce4f202ef8ca6fdfa38073,2d4cb3417f70a8fed69569f2ab35d84d99d1f06d3290a1f9eb02b5015f3a0cd5
po_curtain01_m.tga,po_curtain01_l.tga,image comparison and visual review,ae9b96c788f9670489a94fe98f5d3a83bc0ebabb59b213f20aed2ca5e4e4d4f0,f722b88c3a57c55cf85f568ec5dfc3b07464a523d4e30de50d6460f5c009f5a4,87d49b713ddc2ca913b002fef66923194c3836c6f39d61c1d82d81172f405f54
