file,canonical,decision,reason
po_40k_m15_t.tga,po_40k_m15_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_arrow01_s.tga,po_abp_arrow01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_bolt01_s.tga,po_abp_bolt01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_dgger01_m.tga,po_abp_dgger01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_dgger01_s.tga,po_abp_dgger01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail01_s.tga,po_abp_flail01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail02_m.tga,po_abp_flail02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail02_s.tga,po_abp_flail02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail03_m.tga,po_abp_flail03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail03_s.tga,po_abp_flail03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_flail06_s.tga,po_abp_flail06_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_gaxe04_m.tga,po_abp_gaxe04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_gaxe04_s.tga,po_abp_gaxe04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_helm02_s.tga,po_abp_helm02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_helm03_m.tga,po_abp_helm03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_helm03_s.tga,po_abp_helm03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_helm04_s.tga,po_abp_helm04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_lswrd02_s.tga,po_abp_lswrd02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_mace03_s.tga,po_abp_mace03_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_mace04_s.tga,po_abp_mace04_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_mace05_m.tga,po_abp_mace05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_mace05_s.tga,po_abp_mace05_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_sswrd01_m.tga,po_abp_sswrd01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_sswrd01_s.tga,po_abp_sswrd01_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_sswrd02_m.tga,po_abp_sswrd02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_abp_sswrd02_s.tga,po_abp_sswrd02_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_allosaurus_l.tga,po_allosaurus_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_allosaurus_m.tga,po_allosaurus_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_allosaurus_s.tga,po_allosaurus_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_allosaurus_t.tga,po_allosaurus_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_amnsut_t.tga,po_amnsut_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_angus_m.tga,po_angus_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_angus_s.tga,po_angus_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_angus_t.tga,po_angus_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_banner75_s.tga,po_banner75_m.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_bisonant_s.tga,po_bisonant_l.tga,flip,different artwork; match canonical facing
po_bisonant_t.tga,po_bisonant_l.tga,flip,different artwork; match canonical facing
po_brahma_m.tga,po_brahma_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_brahma_s.tga,po_brahma_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_brahma_t.tga,po_brahma_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_buffalo_m.tga,po_buffalo_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_buffalo_s.tga,po_buffalo_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_buffalo_t.tga,po_buffalo_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_crab_t.tga,po_crab_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
