path,reason,possible_categories,evidence
sw_ability/is_anchor.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_catfall.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_lend10.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_lend25.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_lend50.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_lend80.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_rocket.dds,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_rocket.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_ability/is_sumplnrnrg.tga,"Legacy ability-looking icons lack exact 2DA reference matches, and similarly named iss_rocket is UI; no sufficient evidence to change ability categorization.",,
sw_cr_creature/c_isg1_bone.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_item; sw_plc; sw_weapon,sw_item/it_torch_038.mdl; sw_item/it_torch_039.mdl; sw_item/it_torch_049.mdl; sw_item/it_torch_157.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl
sw_cr_creature/c_isg1_bone.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_item; sw_plc; sw_weapon,sw_item/it_torch_038.mdl; sw_item/it_torch_039.mdl; sw_item/it_torch_049.mdl; sw_item/it_torch_157.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl; sw_plc/ad_gburial.mdl
sw_cr_creature/c_isg1_mhead.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_item; sw_plc; sw_weapon,sw_item/it_torch_038.mdl; sw_item/it_torch_039.mdl; sw_item/it_torch_049.mdl; sw_item/it_torch_157.mdl; sw_item/it_torch_157.mdl; sw_plc/ad_gburial.mdl; sw_weapon/ashlw_090.mdl; sw_weapon/WBlFh_b_015.mdl
sw_cr_creature/c_isg1_mhead.tga,Potential consumers span multiple categories; preserve current shared-resource location,sw_item; sw_plc; sw_weapon,sw_item/it_torch_038.mdl; sw_item/it_torch_039.mdl; sw_item/it_torch_049.mdl; sw_item/it_torch_157.mdl; sw_item/it_torch_157.mdl; sw_plc/ad_gburial.mdl; sw_weapon/ashlw_090.mdl; sw_weapon/WBlFh_b_015.mdl
sw_cr_creature/c_metall.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_t_futcity; sw_t_starship,sw_t_futcity/fcx01_h01_02.mdl; sw_t_futcity/fcx01_h01_02.mdl; sw_t_futcity/fcx01_h01_03.mdl; sw_t_futcity/fcx01_h01_03.mdl; sw_t_futcity/fcx01_h01_04.mdl; sw_t_futcity/fcx01_h01_04.mdl; sw_t_futcity/fcx01_h01_05.mdl; sw_t_futcity/fcx01_h01_05.mdl
sw_cr_creature/c_sith_fighter.dds,Potential consumers span multiple categories; preserve current shared-resource location,sw_cr_vehicle; sw_plc,sw_cr_vehicle/c_sith_bomber.mdl; sw_plc/c_land_sithb.mdl; sw_plc/c_land_sithf.mdl
sw_cr_vehicle/c_barract.008.mtr,Pre-existing empty material file; preserve without guessing content or ownership,,
sw_cr_vehicle/c_bwfightert.009.mtr,Pre-existing empty material file; preserve without guessing content or ownership,,
sw_cr_vehicle/c_starfliert.009.mtr,Pre-existing empty material file; preserve without guessing content or ownership,,
sw_cr_vehicle/cru_corv_light.mtr,Pre-existing empty material file; preserve without guessing content or ownership,,
sw_door/nw2_es_walls1.dds,Moved modern model references texture shared across categories,sw_plc; sw_plc_mdrn,
sw_item/helm_midmisc_110.tga,"Naming or last table-row classifier disagrees, but duplicate/untagged legacy table rows do not prove source-pack provenance",,
sw_palette/cep_tilesets.txt,CEP tileset documentation spans many tileset categories; no single tile owner or established docs folder. Preserve with toolset metadata.,,
